timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
00:59.3,-0.655050039,-9.304950714,0.078000002,1.451312542,-0.548349977,0.676637471,12.11182823,9.328305438,-2.783522795,6,0
00:59.4,0.994050026,-6.571950436,0.147,1.112925053,-1.624287486,0.527724981,9.328305438,6.648328886,-2.679976552,6,0
00:59.5,0.157950014,-7.497000217,1.825950146,0.241312504,-0.922900021,0.32546249,6.648328886,7.717775224,1.069446337,6,0
00:59.6,-0.976050019,-7.612050533,3.724950075,-0.139699996,-0.303600013,0.199925005,7.717775224,8.530606076,0.812830852,6,0
00:59.6,-1.933950067,-8.967000008,5.548050404,-0.397237509,-0.262075007,0.092399999,8.530606076,10.72045313,2.189847052,6,0
00:59.7,-1.279950023,-8.730000496,3.483000278,-0.049224999,-0.54944998,0.168025002,10.72045313,9.485909111,-1.234544018,6,0
00:59.8,-3.892950296,-18.16905022,6.42195034,-0.536662519,-0.470662504,0.343612492,9.485909111,19.65988031,10.1739712,6,1
00:59.9,-1.213050008,-6.460050106,-0.127050012,0.082774997,-0.230175003,0.168987498,19.65988031,6.574182793,-13.08569752,7,0
01:00.0,-0.52305001,-8.581950188,-0.103050008,-0.862262487,1.041562438,0.107387498,6.574182793,8.598492289,2.024309496,7,0
01:00.0,-2.322000027,-9.666000366,0.091950007,-0.913412511,0.760649979,-0.207625002,8.598492289,9.941413481,1.342921193,7,0
01:00.1,-1.63500011,-9.415050507,0.006,-0.983675003,0.696712494,-0.188512504,9.941413481,9.555963447,-0.385450034,7,0
01:00.2,-1.113000035,-9.265950203,0.109050006,-0.958100021,0.444537491,-0.451412499,9.555963447,9.333193138,-0.222770309,7,0
01:00.3,-1.168050051,-9.61605072,-0.216000006,-0.737824976,0.648862481,-0.435462505,9.333193138,9.689139713,0.355946575,7,0
01:00.3,-2.008050203,-10.0159502,0.142050013,-0.610087514,0.881924987,-0.356674999,9.689139713,10.21624698,0.527107264,7,0
01:00.4,-2.142000198,-10.96500015,3.507000208,-0.303600013,0.781962514,-0.351312488,10.21624698,11.70975848,1.493511503,7,1
01:00.5,-0.721950054,-12.36600018,1.438050032,1.273525,0.464749992,0.120037496,11.70975848,12.470251,0.760492525,8,0
01:00.6,-2.286000013,-11.36700058,-1.789050102,2.273974895,-0.417450011,0.528687477,12.470251,11.73180287,-0.738448137,8,0
01:00.7,-0.420000017,-9.094050407,0.205050007,1.19157505,-1.14221251,0.875737488,11.73180287,9.10605284,-2.625750027,8,0
01:00.7,0.616050005,-7.420050144,-0.096000001,0.901037514,-1.6328125,0.563887477,9.10605284,7.446198879,-1.659853961,8,0
01:00.8,0.181950003,-7.188000202,1.299000025,0.134887502,-1.09958744,0.382937491,7.446198879,7.306699239,-0.13949964,8,0
01:00.9,-1.531950116,-8.088000298,4.474950314,-0.223712504,-0.662199974,0.315837502,7.306699239,9.36951441,2.062815171,8,0
01:01.0,-2.950050116,-11.2279501,8.275950432,-0.275962502,-0.578187525,0.262762487,9.36951441,14.25696372,4.887449313,8,1
01:01.1,0.477000028,-7.101000309,2.2120502,0.232787505,-0.90062499,0.364924997,14.25696372,7.452845128,-6.804118595,8,0
01:01.1,4.330049992,-2.163000107,-3.637950182,-0.583412468,0.242412493,0.071087502,7.452845128,6.054963577,-1.397881551,8,0
01:01.2,-2.527950048,-8.737050056,0.243000016,-1.079375029,1.245887518,-0.0171875,6.054963577,9.098660569,3.043696992,9,0
01:01.3,-1.933950067,-9.396000862,-0.733050048,-1.088999987,0.867074966,-0.124712497,9.098660569,9.620933293,0.522272725,9,0
01:01.4,-1.684950113,-9.274050713,-0.501000047,-1.164487481,1.177824974,-0.2226125,9.620933293,9.439177642,-0.181755652,9,0
01:01.5,-0.943050027,-8.905050278,-0.814950049,-0.954937518,0.708537519,-0.490737498,9.439177642,8.991852278,-0.447325364,9,0
01:01.5,-1.213050008,-9.742950439,-0.232950017,-0.861162484,1.000037551,-0.392837495,8.991852278,9.82093882,0.829086542,9,0
01:01.6,-2.080049992,-10.7299509,1.893000126,-0.65367502,0.687224984,-0.38431251,9.82093882,11.09242552,1.271486698,9,0
01:01.7,-4.032000065,-15.56100082,4.570950031,0.374274999,0.804237485,-0.091712497,11.09242552,16.71213198,5.619706463,9,1
01:01.8,-2.25,-10.79505062,-4.423950195,2.535774946,-0.342925012,0.460624993,16.71213198,11.88137001,-4.830761974,10,0
01:01.9,-0.586050034,-9.808050156,-0.393000007,1.842912436,-0.996325016,0.784162521,11.88137001,9.833399794,-2.047970213,10,0
01:01.9,0.967950046,-7.003050327,-0.793050051,1.266100049,-1.724249959,0.614899993,9.833399794,7.113970028,-2.719429766,10,0
01:02.0,-0.270000011,-7.444050312,-0.352050006,0.72338748,-1.395487547,0.31597501,7.113970028,7.457259836,0.343289808,10,0
01:02.1,-0.028050002,-6.649050236,2.76300025,-0.200337499,-0.641987503,0.404249996,7.457259836,7.200335146,-0.25692469,10,0
01:02.2,-3.726000071,-11.85105038,9.99600029,-0.487712502,-0.34512499,0.176550001,7.200335146,15.94523419,8.744899043,10,1
01:02.3,-2.170950174,-7.200000286,1.71600008,0.260425001,-0.786774993,0.645837486,15.94523419,7.713474253,-8.231759936,10,0
01:02.3,5.305050373,-2.254050016,-6.064050198,-0.636624992,0.120999999,0.270187497,7.713474253,8.366421322,0.652947069,11,0
01:02.4,-1.311000109,-8.482950211,-0.609000027,-1.109212518,1.085150003,-0.078924999,8.366421322,8.605233675,0.238812353,11,0
01:02.5,-3.213000059,-9.487050056,-0.589050055,-1.152799964,1.441687465,-0.137500003,8.605233675,10.03366673,1.428433059,11,0
01:02.6,-1.362000108,-9.649950027,0.018000001,-1.196387529,0.943662524,-0.455675006,10.03366673,9.745609464,-0.28805727,11,0
01:02.7,-1.204050064,-8.943000793,-0.475050032,-0.998525023,0.753224969,-0.536525011,9.745609464,9.036186822,-0.709422642,11,0
01:02.7,-2.449050188,-9.928050041,-0.508050025,-0.735624969,0.867074966,-0.424737483,9.036186822,10.23826837,1.202081551,11,0
01:02.8,-2.233050108,-11.25000095,3.493050098,-0.611187518,0.503112495,-0.363000005,10.23826837,11.98959688,1.751328503,11,0
01:02.9,-0.87105006,-13.44600105,2.446050167,1.088449955,0.607337475,0.130762503,11.98959688,13.69440886,1.704811982,11,1
01:03.0,-1.94595015,-12.6820507,-2.431050062,2.420825005,-0.4120875,0.425562501,13.69440886,13.05875708,-0.635651777,12,0
01:03.1,0.228000015,-9.774000168,0.150000006,1.672687531,-1.581662536,0.773575008,13.05875708,9.777809739,-3.280947341,12,0
01:03.1,1.048950076,-6.856950283,-0.787950039,1.304462552,-0.996325016,0.423362494,9.777809739,6.981327145,-2.796482594,12,0
01:03.2,0.220050007,-6.172050476,0.211950004,0.451000005,-1.079375029,0.214774996,6.981327145,6.179607746,-0.8017194,12,0
01:03.3,-0.418050021,-8.184000015,5.826000214,-0.299337506,-0.647350013,0.063662499,6.179607746,10.05459599,3.874988246,12,0
01:03.4,-1.903050065,-9.391050339,5.376000404,-0.243925005,0.00935,0.183974996,10.05459599,10.98702901,0.932433013,12,0
01:03.4,0.300000012,-20.49000168,8.223000526,-0.281187505,-0.313225001,0.461724997,10.98702901,22.08048701,11.093458,12,1
01:03.5,-3.663000107,-10.62000084,-1.267050028,-0.0705375,0.026262499,0.069025002,22.08048701,11.30519365,-10.77529336,13,0
01:03.6,-1.417050123,-9.573000908,-0.433950007,-1.030424953,1.011724949,0.120037496,11.30519365,9.687037217,-1.618156429,13,0
01:03.7,-1.393050075,-8.947950363,0.460950017,-1.228425026,1.163937449,-0.332199991,9.687037217,9.067462662,-0.619574555,13,0
01:03.8,-2.296050072,-9.243000031,-0.082050003,-1.091062546,0.661650002,-0.474787503,9.067462662,9.524265205,0.456802543,13,0
01:03.8,-1.720950127,-9.313950539,-0.460050017,-0.984637499,0.407274991,-0.502425015,9.524265205,9.482773328,-0.041491877,13,0
01:03.9,-0.38895002,-10.05195045,0.102000006,-0.958100021,0.872299969,-0.406724989,9.482773328,10.05998976,0.577216436,13,0
01:04.0,-3.667950153,-13.27605057,7.251000404,-0.30250001,0.733974993,-0.300300002,10.05998976,15.56548695,5.505497181,13,1
01:04.1,0.300000012,-12.2629509,-2.901000023,2.129187584,0.229625002,0.511775017,15.56548695,12.60498972,-2.960497226,14,0
01:04.2,-1.726050138,-11.31405067,-0.942000031,2.369674921,-1.180437446,0.600049973,12.60498972,11.48365603,-1.121333691,14,0
01:04.2,0.778950036,-7.374000549,-0.336000025,1.510849953,-1.064525008,0.883162498,11.48365603,7.422637218,-4.061018811,14,0
01:04.3,0.891000032,-6.166950226,-0.697050035,0.916024983,-1.241212487,0.25850001,7.422637218,6.269851266,-1.152785952,14,0
01:04.4,-0.364950031,-6.775950432,2.700000048,-0.239662498,-0.55893749,0.132825002,6.269851266,7.303197453,1.033346187,14,0
01:04.5,-3.706050158,-10.72695065,8.776050568,-0.453612506,-0.26523751,0.071087502,7.303197453,14.34647488,7.043277427,14,1
01:04.6,-1.378050089,-9.511050224,3.934050083,0.035887498,-0.511087477,0.445775002,14.34647488,10.3844041,-3.962070782,14,0
01:04.6,3.310050249,-2.019000053,-3.775050163,-0.296175003,0.0561,0.253137499,10.3844041,5.411450601,-4.972953498,15,0
01:04.7,-1.921950102,-8.905050278,-0.372000009,-0.939949989,1.095875025,-0.02255,5.411450601,9.117685926,3.706235326,15,0
01:04.8,-2.125950098,-9.094050407,-0.771000028,-1.077312469,1.336362481,-0.204462498,9.117685926,9.371011561,0.253325635,15,0
01:04.9,-2.403000116,-9.367050171,-0.163050011,-1.13478744,1.073462486,-0.337562501,9.371011561,9.671743574,0.300732014,15,0
01:05.0,-1.024049997,-9.223050117,-0.714000046,-0.966624975,0.445637494,-0.548212469,9.671743574,9.307154664,-0.364588911,15,0
01:05.0,-0.969000041,-9.504000664,-0.088950001,-0.894162476,0.793649971,-0.493900001,9.307154664,9.553685247,0.246530583,15,0
01:05.1,-2.911050081,-11.26605034,3.334950209,-0.713349998,0.777700007,-0.495000005,9.553685247,12.10454442,2.550859177,15,0
