timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
53:57.9,-0.984646499,-9.68315506,-0.489930451,-0.024281178,0.002596101,0.003970507,9.902737112,9.745411869,-0.157325243,0,0
53:57.9,-1.266999602,-9.611370087,-0.375074953,-0.024281178,0.002596101,0.003970507,9.745411869,9.701773248,-0.043638621,0,0
53:57.9,-1.609173179,-9.874580383,-0.384646237,-0.024281178,0.002596101,0.003970507,9.701773248,10.01222896,0.310455714,0,0
53:57.9,-1.802991867,-10.18804073,-0.61914283,-0.024281178,0.002596101,0.003970507,10.01222896,10.36485849,0.352629527,0,0
53:58.1,-1.657029629,-10.08275604,-0.79621172,-0.037108973,0.03115321,0.001985254,10.36485849,10.24898384,-0.115874652,0,0
53:58.1,-1.444068432,-9.745368004,-0.676570594,-0.037108973,0.03115321,0.001985254,10.24898384,9.874982478,-0.37400136,0,0
53:58.1,-1.365105271,-9.750154495,-0.566500783,-0.037108973,0.03115321,0.001985254,9.874982478,9.861538836,-0.013443641,0,0
53:58.1,-1.465603828,-9.585049629,-0.317647219,-0.037108973,0.03115321,0.001985254,9.861538836,9.70165299,-0.159885847,0,0
53:58.1,-1.410568953,-9.577870369,-0.198006079,-0.037108973,0.03115321,0.001985254,9.70165299,9.683207732,-0.018445258,0,0
53:58.1,-1.345962763,-9.76211834,-0.466002196,-0.037108973,0.03115321,0.001985254,9.683207732,9.865481655,0.182273923,0,0
53:58.1,-1.161715388,-9.79083252,-0.76271224,-0.037108973,0.03115321,0.001985254,9.865481655,9.888969311,0.023487656,0,0
53:58.1,-1.001396298,-10.04447079,-0.863210797,-0.037108973,0.03115321,0.001985254,9.888969311,10.13110659,0.242137283,0,0
53:58.1,-0.970289588,-10.06600666,-0.769890666,-0.037108973,0.03115321,0.001985254,10.13110659,10.14192702,0.010820423,0,0
53:58.1,-1.006181955,-10.3411808,-0.647856712,-0.037108973,0.03115321,0.001985254,10.14192702,10.41019408,0.268267065,0,0
53:58.1,-1.030110121,-10.2837534,-0.79621172,-0.037108973,0.03115321,0.001985254,10.41019408,10.3658412,-0.044352878,0,0
53:58.3,-1.116251707,-10.25982571,-0.820139945,-0.133011997,0.074981503,-0.342379898,10.3658412,10.3529064,-0.012934803,0,0
53:58.3,-1.374676585,-10.18086243,-1.107278705,-0.133011997,0.074981503,-0.342379898,10.3529064,10.33275189,-0.020154511,0,0
53:58.3,-1.578066587,-10.09711361,-1.325025558,-0.133011997,0.074981503,-0.342379898,10.33275189,10.30522635,-0.027525539,0,0
